model,ap_score,train_time_s,inference_time_s,train_energy_j,inference_energy_j,carbon_footprint
lr,0.7189705771419241,1.4528845979984908,0.036168096001347294,87.29,40.18,
dt,0.4639174196649857,6.679586385998846,0.005479947998537682,112.62,38.09,
rf,0.8219592085042304,53.88136048800152,0.19047035800031153,658.32,50.51,
svm,0.7343348318523907,1.6602871430004598,0.008696624001458986,58.46,39.93,
mlp,0.8460640657746561,22.74023473700072,0.02985921499930555,431.63,41.41,
