model,ap_score,train_time_s,inference_time_s,train_energy_j,inference_energy_j,total_time_s,total_energy_j
mlp,0.8460640657746561,22.74023473700072,0.0298592149993055,431.63,41.41,22.770093952000025,473.03999999999996
rf,0.8219592085042304,53.88136048800152,0.1904703580003115,658.32,50.51,54.07183084600183,708.83
svm,0.7343348318523907,1.6602871430004598,0.0086966240014589,58.46,39.93,1.6689837670019187,98.39
lr,0.7189705771419241,1.4528845979984908,0.0361680960013472,87.29,40.18,1.489052693999838,127.47
dt,0.4639174196649857,6.679586385998846,0.0054799479985376,112.62,38.09,6.6850663339973835,150.71
